---START---
-255.00, 61.47, 117.10, -31.16, -7.07, 115.05, -9.40, 4.85, 
-254.00, 50.22, 125.08, -24.97, -7.06, 114.81, -9.42, 4.85, 
-253.00, 50.23, 125.01, -24.63, -7.05, 114.57, -9.43, 4.85, 
-252.00, 50.07, 124.83, -24.57, -7.05, 114.33, -9.45, 4.85, 
-251.00, 50.46, 124.37, -24.52, -7.04, 114.08, -9.46, 4.85, 
-250.00, 50.97, 123.80, -25.49, -7.03, 113.84, -9.48, 4.85, 
-249.00, 50.77, 123.27, -24.95, -7.02, 113.60, -9.49, 4.85, 
-248.00, 50.86, 122.98, -25.20, -7.02, 113.36, -9.51, 4.85, 
-247.00, 50.62, 123.19, -24.57, -7.01, 113.11, -9.53, 4.85, 
-246.00, 50.75, 122.38, -24.87, -7.00, 112.87, -9.54, 4.85, 
-245.00, 50.88, 122.38, -24.55, -6.99, 112.63, -9.56, 4.85, 
-244.00, 50.72, 121.67, -24.77, -6.99, 112.38, -9.57, 4.85, 
-243.00, 50.57, 121.50, -24.66, -6.98, 112.14, -9.59, 4.85, 
-242.00, 50.69, 121.65, -24.55, -6.97, 111.90, -9.61, 4.85, 
-241.00, 51.03, 121.13, -24.62, -6.96, 111.65, -9.62, 4.85, 
-240.00, 50.76, 120.74, -25.10, -6.96, 111.41, -9.64, 4.85, 
-239.00, 51.00, 120.34, -25.18, -6.95, 111.17, -9.65, 4.85, 
-238.00, 50.73, 119.94, -24.57, -6.94, 110.92, -9.67, 4.85, 
-237.00, 50.88, 119.78, -24.48, -6.93, 110.68, -9.69, 4.85, 
-236.00, 51.03, 118.89, -23.81, -6.93, 110.43, -9.70, 4.85, 
-235.00, 50.91, 118.22, -24.52, -6.92, 110.19, -9.72, 4.85, 
-234.00, 50.44, 118.97, -24.56, -6.91, 109.94, -9.73, 4.85, 
-233.00, 51.01, 118.07, -25.01, -6.90, 109.70, -9.75, 4.85, 
-232.00, 50.74, 118.38, -25.45, -6.90, 109.45, -9.77, 4.85, 
-231.00, 50.53, 117.87, -24.61, -6.89, 109.21, -9.78, 4.85, 
-230.00, 50.93, 116.69, -24.52, -6.88, 108.96, -9.80, 4.85, 
-229.00, 50.69, 117.39, -25.03, -6.87, 108.72, -9.82, 4.85, 
-228.00, 50.74, 116.23, -24.79, -6.87, 108.47, -9.83, 4.85, 
-227.00, 50.70, 116.05, -25.16, -6.86, 108.22, -9.85, 4.85, 
-226.00, 50.89, 115.46, -24.98, -6.85, 107.98, -9.86, 4.85, 
-225.00, 51.03, 114.98, -25.35, -6.84, 107.73, -9.88, 4.85, 
-224.00, 50.92, 115.28, -25.28, -6.84, 107.49, -9.90, 4.85, 
-223.00, 50.85, 114.51, -25.02, -6.83, 107.24, -9.91, 4.85, 
-222.00, 51.03, 114.31, -25.02, -6.82, 106.99, -9.93, 4.85, 
-221.00, 51.11, 114.77, -25.44, -6.81, 106.75, -9.95, 4.85, 
-220.00, 50.94, 113.63, -25.41, -6.81, 106.50, -9.96, 4.85, 
-219.00, 51.09, 113.51, -24.95, -6.80, 106.25, -9.98, 4.85, 
-218.00, 50.91, 113.19, -25.23, -6.79, 106.00, -9.99, 4.85, 
-217.00, 50.71, 112.00, -24.94, -6.78, 105.76, -10.01, 4.85, 
-216.00, 50.87, 113.30, -25.15, -6.77, 105.51, -10.03, 4.85, 
-215.00, 51.00, 112.01, -25.06, -6.77, 105.26, -10.04, 4.85, 
-214.00, 51.21, 112.28, -25.48, -6.76, 105.01, -10.06, 4.85, 
-213.00, 51.38, 111.67, -25.35, -6.75, 104.77, -10.08, 4.85, 
-212.00, 51.25, 110.77, -25.38, -6.74, 104.52, -10.09, 4.85, 
-211.00, 51.25, 111.79, -24.66, -6.74, 104.27, -10.11, 4.85, 
-210.00, 51.10, 109.63, -25.41, -6.73, 104.02, -10.13, 4.85, 
-209.00, 51.10, 110.50, -25.75, -6.72, 103.77, -10.14, 4.85, 
-208.00, 50.96, 109.54, -25.51, -6.71, 103.53, -10.16, 4.85, 
-207.00, 50.78, 109.00, -25.25, -6.71, 103.28, -10.17, 4.85, 
-206.00, 51.02, 110.70, -24.95, -6.70, 103.03, -10.19, 4.85, 
-205.00, 50.81, 109.32, -25.60, -6.69, 102.78, -10.21, 4.85, 
-204.00, 50.87, 108.96, -25.51, -6.68, 102.53, -10.22, 4.85, 
-203.00, 50.93, 108.97, -25.46, -6.67, 102.28, -10.24, 4.85, 
-202.00, 50.87, 107.46, -25.48, -6.67, 102.03, -10.26, 4.85, 
-201.00, 50.91, 108.07, -25.49, -6.66, 101.78, -10.27, 4.85, 
